Name, Serving
Chicken Breast, 1 breast (200g)
Spinach, 1 cup (30g)
Quinoa, 1/4 cup (45g)
Avocado, 1/2 avocado
Tofu, 100g
Tomato, 1 medium
Feta Cheese, 1/4 cup (30g)
Chickpeas, 1/2 cup (80g)
Banana, 1 medium
Almonds, 1/4 cup (30g)
Broccoli, 1 scoop (30g)
Salmon, 1/2 cup (75g)
Eggs, 1 fillet (200g)
Brown Rice, 1 cup (100g)
Sweet Potato, 1 medium
Zucchini, 1 cup (100g)
Cucumber, 1 cup (100g)
Kale, 2 tbsp (32g)
Strawberries, 1/4 cup (30g)
Blueberries, 1/4 cup (30g)
Oats, 1 fillet (200g)
Milk, 100g
Greek Yogurt, 1/4 cup (30g)
Peanut Butter, 1 cup (100g)
Black Beans, 1 scoop (30g)
Bell Pepper, 1 medium
Onion, 1 slice (50g)
Garlic, 1 cup (100g)
Lentils, 1 fillet (200g)
Turkey Breast, 1 scoop (30g)
Beef, 100g
Pineapple, 1 slice (50g)
Apple, 1 slice (50g)
Orange, 1 fillet (200g)
Carrot, 1 piece (150g)
Celery, 1 scoop (30g)
Pumpkin Seeds, 1 piece (150g)
Sunflower Seeds, 1 fillet (200g)
Cottage Cheese, 1/4 cup (30g)
Cabbage, 1 scoop (30g)
Beets, 1 medium
Green Beans, 1/2 cup (75g)
Cauliflower, 1 cup (100g)
Eggplant, 1 piece (150g)
Peas, 1 cup (100g)
Mushrooms, 100g
Edamame, 1 scoop (30g)
Shrimp, 1 medium
Whey Protein, 1 scoop (30g)
Coconut Oil, 1 cup (100g)
