user_id,Rid,rating
101, 1, 4
102, 2, 5
103, 3, 3
101, 4, 5
104, 5, 4
101, 36, 4
129, 27, 2
111, 29, 2
107, 7, 5
102, 15, 5
129, 31, 5
121, 26, 2
125, 8, 2
118, 48, 1
129, 2, 2
103, 23, 4
119, 22, 5
120, 28, 5
105, 13, 4
106, 43, 3
103, 47, 3
128, 2, 2
118, 46, 2
126, 23, 4
122, 49, 5
124, 15, 5
125, 13, 2
148, 70, 5
141, 62, 2
133, 36, 1
102, 19, 1
105, 46, 5
147, 28, 3
146, 82, 3
130, 52, 5
102, 96, 5
140, 28, 5
111, 37, 1
103, 93, 3
148, 40, 1
109, 28, 1
109, 80, 4
101, 8, 3
133, 46, 1
117, 4, 4
